Gene name	Gene_freq	Total
GIT2	627	49097025
GIPC3	302	49097025
GIT1	384	49097025
GJA5	396	49097025
GJA8	516	49097025
GJA3	370	49097025
GJA10	585	49097025
GIPR	326	49097025
GJA1	427	49097025
GJA4	260	49097025
POLE3	123	49097025
POLE2	414	49097025
POLD1	1086	49097025
POLD2	253	49097025
POLD4	85	49097025
POLDIP2	207	49097025
POLD3	426	49097025
POLE	2208	49097025
POLDIP3	343	49097025
POLE4	135	49097025
PROZ	316	49097025
PRPF19	356	49097025
PROSER3	354	49097025
PRPF38B	311	49097025
PRPF31	328	49097025
PRPF38A	285	49097025
PROX2	336	49097025
PRPF3	490	49097025
PROX1	1034	49097025
PRPF18	416	49097025
MBD1	508	49097025
MBD3L5	73	49097025
MBD2	503	49097025
MBD3	303	49097025
MBD3L2B	18	49097025
MBD3L1	195	49097025
MBD3L2	59	49097025
MBD3L3	82	49097025
MBD3L4	22	49097025
MB21D2	1005	49097025
NAE1	336	49097025
NADK	537	49097025
NACC2	554	49097025
NADK2	432	49097025
NADSYN1	704	49097025
NACA	824	49097025
NABP2	172	49097025
NACA2	222	49097025
NACAD	518	49097025
NACC1	306	49097025
MTURN	215	49097025
MTSS1	1289	49097025
MTTP	946	49097025
MTRNR2L4	10	49097025
MTSS1L	506	49097025
MTRNR2L8	16	49097025
MTRNR2L7	35	49097025
MTRNR2L5	19	49097025
MTRR	662	49097025
MTRNR2L6	22	49097025
GLYCTK	246	49097025
GLUL	313	49097025
GLYR1	577	49097025
GMCL1	356	49097025
GLYAT	478	49097025
GLYATL1B	73	49097025
GLYATL1	517	49097025
GLYATL3	295	49097025
GLYATL2	339	49097025
GM2A	208	49097025
XG	289	49097025
XBP1	231	49097025
XIRP1	983	49097025
XCR1	346	49097025
XAGE5	139	49097025
XDH	1381	49097025
XCL2	130	49097025
XAGE3	144	49097025
XIAP	584	49097025
XCL1	179	49097025
ACSBG2	683	49097025
ACP5	211	49097025
ACRBP	349	49097025
ACRV1	172	49097025
ACP7	512	49097025
ACSBG1	843	49097025
ACR	255	49097025
ACPP	641	49097025
ACP6	354	49097025
ACP4	311	49097025
ALKBH2	159	49097025
ALKBH3	392	49097025
ALKBH8	520	49097025
ALKBH1	381	49097025
ALKBH7	140	49097025
ALKBH6	154	49097025
ALKBH5	261	49097025
ALKBH4	214	49097025
ALKAL2	141	49097025
ALLC	716	49097025
NUDT1	207	49097025
NUDT10	234	49097025
NUDT12	266	49097025
NUDCD2	174	49097025
NUDT13	292	49097025
NUDCD1	805	49097025
NUDCD3	646	49097025
NUDC	232	49097025
NUDT11	174	49097025
NUDT14	168	49097025
OR2T27	470	49097025
OR2T35	217	49097025
OR2T3	427	49097025
OR2T29	145	49097025
OR2T8	434	49097025
OR2T34	388	49097025
OR2T4	619	49097025
OR2T6	678	49097025
OR2T33	681	49097025
OR2T5	172	49097025
VSNL1	645	49097025
VSTM2B	541	49097025
VSTM4	1031	49097025
VSX1	282	49097025
VSX2	356	49097025
VSTM5	212	49097025
VSTM1	473	49097025
VSTM2A	690	49097025
VSTM2L	353	49097025
VSIR	375	49097025
ALDH3A2	323	49097025
ALDH4A1	454	49097025
ALDH3B1	388	49097025
ALDH6A1	432	49097025
ALDH8A1	485	49097025
ALDH7A1	530	49097025
ALDH3B2	446	49097025
ALDH3A1	418	49097025
ALDH5A1	544	49097025
ALDH9A1	449	49097025
BID	345	49097025
BICD1	1441	49097025
BICDL2	305	49097025
BICC1	2071	49097025
BICRAL	974	49097025
BICD2	696	49097025
BHMT2	360	49097025
BICRA	1097	49097025
BHMT	375	49097025
BICDL1	646	49097025
CDIPT	177	49097025
CDK10	308	49097025
CDK11A	651	49097025
CDK1	245	49097025
CDK14	2321	49097025
CDK11B	548	49097025
CDIP1	193	49097025
CDK12	1575	49097025
CDK13	1225	49097025
CDK15	887	49097025
GPR171	209	49097025
GPR162	391	49097025
GPR176	729	49097025
GPR161	630	49097025
GPR174	581	49097025
GPR17	308	49097025
GPR173	338	49097025
GPR160	376	49097025
GPR157	280	49097025
GPR158	3065	49097025
CDC27	1423	49097025
CDC40	581	49097025
CDC42BPA	2049	49097025
CDC42	321	49097025
CDC25C	487	49097025
CDC37L1	292	49097025
CDC34	244	49097025
CDC37	289	49097025
CDC42BPB	1289	49097025
CDC26	66	49097025
HTR4	1502	49097025
HTRA1	556	49097025
