gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
ZIC5						
PNN						TSG
SGF29						
AFTPH						
FCER1G						
GPD2						
C9orf163						
S100Z						
SNX24						
INS						
C11orf91						
KIAA1958						
ARL6						
ZRANB2						
HOXA13	ONC					
SLITRK6						
COL4A5						
RPL24						
STK33						
SIGLEC10						
ZNF534						
SMURF2						
GID8						
C8G						
ZNF81						
FREM2						
SNX14						
CLIP3						
LRRC43						
SMIM8						
EPB41L3						TSG
KRTAP11-1						
ARPC4						
SLC29A1						
FCRL1						
TP53INP1						TSG
TRHR						
FRMPD2						
C2orf81						
TBC1D10C						
TMEM74						
SAMD5						
FAM156A						
CTLA4		ONC				
OSTF1						
TAF1C						
THBS2						
CCDC3						
PEX5L						
F12						
WDR49						
EDN3						
CDH2						
ATP6AP2						
CDR1						
PAF1						
MAD2L2		TSG/ONC				
FOXP3						TSG
GPC4						
SLC22A7						
KIF4A						
COX8A						
PRKRA						
DEFB128						
BMT2						
TEX11						
PSMC6						
PSMB10						
SLFN12L						
PSD3						
FRAT1					ONC	
EFNA2						
TMEM68						
ENOSF1						
HSPB2						
BLZF1						
MICB						
DNAJC5						
ELOC						
SYNDIG1L						
SLC19A1						
ARMCX5						
EIF2B1						
FBXO15						
ASB12						
MYL2						
RAD18						
GYPA						
DEFB135						
SOHLH1						
TCEB3						TSG
ADAM7						
NCAPD3						
DUSP3						
LATS2	TSG	TSG				TSG
SLC43A1						
CALM3						
ADH1B						
SEMA3A						
CMTR2		TSG				
SLC23A2						
RMND5A						
TANK						TSG
HAND2						
CLDND1						
KIF1B						TSG
ZAR1L						
GNS						
KRTAP21-1						
CNBD1						
ZFP1						
NUP98	ONC	ONC			ONC	TSG
SLC4A1AP						
WDHD1						
CYP7A1						
ENTR1						
CTSB						
NPAT						
CYFIP2						
WASHC1						
PTPRQ						
NARFL						
ERBIN						
TRAPPC12						
MRPL22						
FBXL14						
KLHL22						
OR10H3						
SCN10A						
TENT4B						
DUSP11						
RFWD2		ONC				TSG
SRP68						
PCNX						
ADM5						
SEC63						
EPPK1						
RIBC1						
CKAP2						
TIMP3						TSG
NMUR1						
SAMD4B						
OR2M3						
FAAP100						
KCNE1						
ESRP1						TSG
ZFHX3	TSG	TSG				TSG
MAP3K3						
UBE2K						
CXorf57						
WDR52						
CLPP						
ENTPD8						
NUP214	ONC				ONC	
SNRNP40						
TMEM206						
MID1						
TRD	ONC					
IFT140						
SPIN2A						
MYH3						
FOXL2	TSG/ONC	TSG/ONC	ONC			TSG
KCTD17						
SLC23A1						
ANKK1						
NSUN7						
PTGDR2						
DDX58						TSG
ERF		TSG				TSG
PSMC4						
ANKLE1						
PHF12						
FXYD3						
B4GALT2						
LRRC8B						
PRR35						
LRRC4B						
MCF2L					ONC	
LDHD						
DYNC1LI1						
MINK1						
TRAPPC6A						
FOXD4						
PRPSAP2						
CDC42SE1						
DRD4						
VTCN1						
YJEFN3						
STK11	TSG	TSG	TSG	TSG		TSG
METTL7B						
PIGS						
RNF180						TSG
POF1B						
KIAA1430						
RGS17						
HERC3						
HTR2B						
SBK1						
CSTL1						
INIP						
WAC						
RSL1D1						
HSD17B6						
UBLCP1						
LIPN						
PAX6						TSG
SKAP1						
GPR111						
CDC42EP3						
CTSG						
MCHR1						
HNRNPK						
AARSD1						
PCDHB1						
PCDHB5						
GFOD1						
CYP2S1						
KCNN1						
SERPINB9						
KIT	ONC	ONC	ONC	PSSIBLE_ONCOGENE	ONC	
PRSS22						
PAK3						
NOX3						
RPL37						
ATP5L2						
CPSF6						
GABPB2						
EXOSC2						
KCNK18						
DGKQ						
ZNF558						
TMPRSS13						
FGD2						
CABP4						
PPP1R13L					ONC	
MFSD1						
NUTM2G						
NT5C1B						
MPZL1						
PRPSAP1						
PUS10						
PRKAR1B						
TRAPPC4						
ZFYVE21						
DHRS7						
ARHGEF33						
ACOX2						
NKX1-2						
USP8	ONC	ONC				
TNFRSF11B						
PNMA3						
FAM196B						
DEUP1						
BICDL1						
ADIPOR1						
DDX41		TSG				
DPRX						
NEMF						
NDUFA4						
UQCR10						
ATP23						
SPEM1						
C1orf61						
ACN9						
PLK1					ONC	
GPR34						
GRN						
BIRC6	ONC					
SLC7A7						
CCDC132						
EPOP						
KREMEN2						
WNK4						
LRRC32						
RPL39L						
FAM46B						
MARCH10						
CDH11	ONC/TSG					TSG
SLC35F4						
DCAF11						
THOC1						
SPATA2L						
S100B						
SGSM1						
BTBD9						
APOBEC3A						
ASAP1						
LIPT2						
CST5						TSG
FAHD2B						
EVA1A						
ZNF671						
FBXO46						
NUP160						
TEDC1						
HLA-DOB						
GANC						
SLC35B1						
TBX22						
AGFG1					ONC	
ANKRD26						
HK2						
CCDC181						
RFPL3						
ADORA1						
ZNF157						
MUC2						
FPR1						
IL31						
CRABP1						
SLC2A4RG						
PIF1						
TCL1B		ONC			ONC	
MMAB						
KIAA0226						
RAB27A						
PHF14						
RRH						
NACAD						
N4BP2	TSG					
PLXNA2						
CHCHD4						
PGAM5						
ZBTB3						
GZMB						
NUP85						
TOR1B						
RBM11						
LCE2B						
STRC						
ADAM29						
TMEM175						
SPATA9						
COL17A1						
GRM6						
BAZ2A						
CPE						
TTC39A						
UBE2W						
RCAN2						
SMC5						
TNFRSF9						
C10orf88						
OLA1						
UPF2						
PGF						
STRIP2						
OR8K5						
DNHD1						
IL17C						
AKAP13					ONC	
ACTA1						
KCNK5						
HIST1H3B	ONC		ONC			
CKMT1A						
DELE1						
BMS1						
ASCL3						
MOCOS						
SEC23IP						
CAPZA2						
KIAA1324						
KIAA1522						
OTOP3						
IDH3A						
SAP130						
OR6B2						
IFNLR1						
EOGT						
STAT6	ONC	ONC				
DUX4						
PFKFB1						
ERLEC1						
REG3A						
HUS1						
ZNF493						
F8						
MIEN1					ONC	
DHX15						
SIL1						
TMC6						
LRRK1						
DPP6						
MAGEA12						
ZNF433						
RASSF7						
WNT5B						
TUSC3						
VPS50						
C15orf48						
COPA						
FAM214A						
STX11						
TEAD4						
ZNF555						
HYAL2						
ANAPC5						
HOXA7						
PYCR1						
SLC28A3						
UCN3						
TROAP						
LPHN3						
IGFBP3						TSG
LEPR						
MAPK8IP3						
ZKSCAN7						
MED20						
HSD17B13						
CETP						
AMY1B						
C4orf6						
ABCA5						
POTED						
ELP4						
LARP7						
SLC35E2						
C17orf53						
C14orf178						
KDM1A						
ZNF692						
MEA1						
B3GALNT1						
LINGO2						
TRAK1						
NBPF11						
C22orf42						
IGSF22						
SEPN1						
SNX21						
WDR37						
RIMS1						
ADGRL2						
MXRA8						
AGTPBP1						
COL14A1						
FADS2						
KCNT1						
SNAP25						
TEKT5						
AWAT1						
AIRE						
SLC25A3						
VASN						
TMED10						
SIX4						
UBE2D3						
FES	TSG/ONC				ONC	
FAM57A						
MS4A10						
HSD17B10						
CNBP	ONC/TSG					
HIST1H1C						
ZBTB9						
ANAPC10						
COL20A1						
EPHA4						
CCDC57						
FCRLB						
DCTN2						
CCDC183						
H2AFY2						
RBMXL2						
LOXL4						
P3H4						
CCDC159						
XKR5						
CMKLR1						
ATP5E						
GNB4						
CCDC13						
SRARP						
ITGB7						
ACACB						
MYL12B						
TTC33						
DYNAP						
ACYP2						
ARHGEF9						
C1GALT1C1						
CROT					ONC	
MRPL1						
VIPR2						
VAPA						
UTP11						
ETS1					ONC	
MAP1LC3A						
RDH14						
GSX2						
ST8SIA4						
MYL7						
TTLL3						
MCM7						
FAM89B						
HSD3B7						
CASC5						
TUBGCP3						
PFDN5						
COQ7						
POLG2						
MRPS28						
SLC25A28						
ZRANB1						
SPRY3						
ALDH9A1						
GALNT9						
NWD1						
IPO4						
SDAD1						
CCL25						
ETV2						
XPO7						
ALAS2						
CNTNAP5						
XRCC4						
MCMBP						
TCF7L1						
BLNK						TSG
DOK3						TSG
PIWIL2						TSG
IFNL3						
GRIK2						
MATK						
FERD3L						
NOL10						
TATDN1						
EPO						
CDHR3						
DMBT1						TSG
IVD						
ERCC1						
PPIL6						
AIM2						TSG
NDUFA12						
PEBP1						TSG
GIMAP2						
AP1S1						
FABP4						
DNAJB9						
C14orf93						
EXTL1						TSG
USF3						
EBI3						
PANX1						
RAD23A						
PLXNB1					ONC	
DCHS2						
RAET1G						
EDDM3A						
RNF24						
PIK3C2A						
FCGR1A						
SENP8						
KRT15						
NOTCH3		TSG/ONC				TSG
SLC16A14						
RPL14						
TDP2						
DLGAP2						
ATP13A2						
SIRT4						TSG
C1QTNF7						
PGK2						
TAS2R42						
TSPAN6						
EVA1C						
MEPE						
RRAGB						
SSBP1						
DMTF1						TSG
BANF2						
PAFAH1B2	ONC					
CDRT15						
ZNF396						
BMP10						
EHBP1						
OR52J3						
COG4						
SIRPD						
ARNT	TSG/ONC					
JAG2						
IGSF6						
SHISA2						
ATPIF1						
ZPLD1						
NOL6						
CD99L2						
LRRC74A						
C20orf194						
OR52A1						
AGPAT3						
YWHAZ					ONC	
YPEL1						
SCOC						
CCDC11						
NEIL3						
MST1		TSG				TSG
PLCD1						TSG
ATG7						
SOWAHD						
ELF1						
NAE1						
MVB12B						
ZNF607						
DOCK7						
FAM189A2						
ACSF3						
DRAP1						
TEX35						
MAP2						
OTX1						
BMP4						TSG
CECR2						
OR9Q2						
TIMM17A						
FGF8					ONC	
ZFYVE1						
PCDHB12						
LDHAL6A						
S100A11						TSG
LOR						
WDR20						
LIPT1						
S100A10						
MUM1					ONC	
CRTAP						
KLRC2						
PRAF2						
PPP1R42						
RNF121						
RAB6C						
HOOK2						
PRIM2						
TMEM174						
MYBPC3						
PRCC	ONC					
SUDS3						
IBTK						
NRGN						
UBASH3A						
POMC						
IGFBP6						
DHRS7B						
EXOC8						
PDCD6IP						
ZBTB46						
PLEC						
RNPEP						
NRG3						
LRRC14B						
TPST2						
PHKG1						
GNG12						
CDH5						TSG
GRIK5						
ZNF491						
PTCHD2						
SELENON						
CALB1						
RPS6KB1						
PCP2						
COL2A1	ONC					
P4HA3						
GXYLT1						
INTS6						TSG
RBM41						
CCL5						
DNMT3L						
WDR90						
ZNF428						
CSTF1						
SGO2						
GFRAL						
MIS18BP1						
TBC1D32						
OR2V2						
MAGEA9B						
ARAP1						
TAF15	ONC				ONC	
NKIRAS1						
CDK4	ONC	ONC		ONC	ONC	
MS4A3						
POM121C						
FGD1						
PKM						
ELAVL2						
PPFIA3						
BAX	TSG				ONC	
MEIS3						
JADE2						
PNOC						
TBL1Y						
CFLAR					ONC	
MMP26						
TMEM134						
ZG16						
PEX6						
KCTD9						
BCL2L1					ONC	
IKBKAP						
RALA						
CCL3L3						
OR11H1						
CTNND1				TSG		TSG
IZUMO2						
GAD1						
BCL2L13						
POGK						
ANTXR2						
PHLDB1						
GABRR1						
DERL3						
ZNF605						
FIGLA						
SLC38A9						
HSPA4L						
P2RX7						
GNG2						
STAU1						
NCF4						
TRIM72						
TTC23						
CAPN9						
IL16						
SELENOV						
TBR1						
TDG						
BIRC7						
SS18	ONC	ONC			ONC	
CSDC2						
SCO2						
IL1RAPL1						
CYP2J2						
ROM1						
C19orf10						
CAV3						
INPP5B						
RIT1		ONC			ONC	
KIN						
RALBP1						
ARHGAP5	ONC					
FFAR1						
PDE6D						
CYP2U1						
AUH						
HECTD3						
OR2T33						
FKTN						
RFNG						
ADGB						
CDK8		ONC			ONC	
CCK						
TCEAL9						
GPR135						
WHSC1		ONC			ONC	
TMEM179B						
ZNF12						
GMCL1						
LMX1B					ONC	
BEX5						
CLEC1A						
NQO1						
KLC2						
PKD1						TSG
PDS5A						
SEC31B						
CKAP2L						
CCDC101						
C5orf55						
WDR34						
CMYA5						
COX6A1						
ZDHHC6						
PATJ						
FFAR2						
CBWD3						
PLEKHG7						
PPIAL4A						
SIGMAR1						
SUSD2						
LCE5A						
APOO						
ATP5F1C						
DIAPH1						
TMEM183B						
ZNF567						
SF1				PSSIBLE_ONCOGENE		
CCDC70						
KCNK12						
CGB						
CABIN1					ONC	
KALRN						
SPART						
KLF2		TSG			ONC	
OR51B2						
ANKRD36B						
PIWIL4						
KIR3DL2						
FOXD1						
EPHA5						
DIO1						
KBTBD4						
IL36G						
PTTG1IP					ONC	
KRT6C						
ZNF19						
MED29						
FAM71D						
AP3B2						
ZNF423						
PAPSS1						
PRKRIP1						
STON1-GTF2A1L						
HSPA4					ONC	
ENTPD5					ONC	
MAPK1	ONC	ONC		ONC		
GCSAML						
PDGFD						
AFMID						
CCDC108						
TADA2B						
SAYSD1						
CD300C						
H1F0						
MBOAT4						
FARP1						
SGPP1						
WWOX						TSG
ARHGDIA						
PLPP6						
LYZL2						
THBS4						
CTNS						
FLCN	TSG	TSG				TSG
SPSB3						
WNT7B						
ANKIB1						
DDN						
CEP55						
SERPINE1						
CEP68						
ATP2B4						
CCDC198						
ANKRD31						
LRRTM4						
TTC16						
L1CAM						
GIMAP8						
RTL1						
RAB21						
KANK3						
MYC	ONC	ONC		ONC	ONC	
RASL11A						TSG
SCG2						
OR1J2						
NMRK2						
TSKS						
MRPL43						
NCMAP						
PCGF1						
CHDH						
HAUS4						
NIPSNAP3A						
ATP7B						
RWDD2B						
NIPSNAP2						
RSAD1						
ZCCHC24						
OPCML						TSG
ZNF28						
KIAA1143						
CXCR3						
ACR						
PLSCR2						
HHIPL2						
ZNF727						
DNAJC25						
BATF2						TSG
KCNJ11						
MICAL3						
WASF2						
PYGO1						
NANOS1						
MSRB2						
TPD52L3						
GBP6						
FZR1						TSG
XKR4						
BRIP1	TSG	TSG				
TUFM						
PURB						
SYT15						
CCBL2						
KCTD21						
MON2						
YPEL3						TSG
PLEKHF1						
ZBTB4						TSG
WSB1						
XRCC5						TSG
SRFBP1						
GRHPR						
LAMA1						
GPBP1						
C4orf51						
TUSC1						TSG
LCN1						
PDF						
IL36A						
GSDMA						
CADM4						TSG
ITPK1						
GALR1						TSG
ZMYM3	TSG					
LIMK1						
LHX6						TSG
DMP1						
SKP1						
PLEKHA2						
TMEM38B						
OR4D6						
HAUS5						
CNOT8						
HTN1						
CRYZ						
LSMEM1						
TSPO						
CCDC93						
OR1N2						
CACNG8						
PPAP2C						
FAM32A						
C4orf3						
MINDY2						
DCDC2B						
NOP2						
OR52I2						
TRAPPC5						
SPHAR						
INTS5					ONC	
SPRN						
OGFOD3						
ROPN1						
OSM						
EMILIN1						
CLCN1						
SLC7A3						
ZFP2						
MAPKAP1						
SPATA21						
TMEM106A						
SPZ1						
TASP1						
GPR89A						
SSSCA1						
CYP2W1						
HIST1H1B		TSG				
SPAG7						
GPR108						
FAM228A						
AKAP8L						
REM1						
CITED4						
TBX10						
TNKS2						
PZP						
AEN						
GAA						
OR7A10						
NR1I2						TSG
ZSCAN31						
OR1I1						
SEPT8						
NAA50						
PRKCD						TSG
ZFYVE28						
GALNS						
PCDHA3						
NPIPA1						
TMEM132E						
HDGF						
NELL1						
GTF2A2						
WIPI1						
RANBP1						
ACTR10						
DOK4						
CBX1						
EPX						
GNAO1						
PLEKHF2						
THADA						
BHLHB9						
ANO8						
MTMR8						
CTPS1						
BCL9L	TSG/ONC				ONC	
MACROD1					ONC	
FAM72B						
EID3						
CDRT4						
HAUS6						
ZNF618						
NUP62CL						
IL1B						
ECI2						
EEPD1						
SIX1	ONC				ONC	
OR13G1						
ZFP28						
COL23A1						
LPAR1						
TLR7						
WWC3						
PRSS33						
CATSPERD						
OSTN						
NLGN3						
EDAR						
ZCWPW1						
NOL4						
MMP7						
PRICKLE2						
BST1						
CMTM4						
BPIFA2						
SLC22A9						
TBK1						
FAM186A						
TMEM74B						
KRT24						
LCN12						
EXD2						
LCK	ONC	ONC			ONC	
C10orf2						
AGPAT5						
OR52N4						
NFIA						
PUSL1						
LMX1A						
SLC7A1						
PRDM5						TSG
PLAG1	ONC				ONC	
PCYOX1L						
MRI1						
RAB20						
POLR3E						
CCNI						
EED	TSG	TSG				TSG
PTPN13	TSG					TSG
FOLR3						
PCDH15						
TPP1						
ZNF860						
ANK3						
C4orf48						
TNFAIP2						
REPS2						
FCRL6						
TMEM266						
ULK4						
PPAP2B						
RBMY1A1					ONC	
ABHD12B						
MAT2A						TSG
CANX						
USP6NL						
PTPN22						
ZNF697						
TSPAN4						
SPTBN1						TSG
TMEM165						
CHST3						
DEFB106A						
RSPH10B						
KIF24						
NDUFA1						
RGPD3						
TACC3						
ADAMTS2						
TMEM268						
AKAP4						
SLC35G6						
ANKRD28						
RBM12						
ZMAT2						
DAZ2						
GSG1						
FAM127C						
RPL36						
PRR3						
GTF2H2C						
C7orf72						
KLHL17						
SLC39A1						TSG
VIPAS39						
ZSCAN10						
FTO						
BEST2						
GHSR						
HBA1						
PRIMA1						
POU3F3						
C20orf173						
ERI3						
CD5L						
SPECC1	ONC					
APITD1						TSG
TUT1						
PATE1						
SPIC						
RABGAP1L						
BAZ1B						
TAAR9						
BPY2						
C1orf122						
OR8J1						
DBH						
ATP6V1G3						
ZNF79						
RPS10						
CDCP1						TSG
ZYG11B						
PROCA1						
TEX33						
S100A13						
C9orf85						
CLRN1						
ANG						
NCALD						
CRABP2						
PSMA2						
ESD						
RNFT2						
RPL28						
FBRS						
UBN1						
PRR12						
SLC28A2						
PQLC2L						
RANGRF						
FAM129A						
VRK1						
N6AMT1						
EXT1	ONC/TSG					TSG
FGF4		ONC			ONC	
BATF						
PRR32						
HRH2						
AGPAT1						
PCDH10						TSG
NUDT14						
C17orf74						
UXS1						
FABP5						
ZFPM2						
MCOLN2						
MTCH1						
MRPL16						
PARP11						
VKORC1						
TCEANC2						
SPHKAP						
MAP3K1	TSG/ONC	TSG	TSG	TSG		
C12orf45						
MUSK						
NUDCD3						
ERH						
EIF3E	ONC/TSG				ONC	
AKR1E2						
NACC2						
OR1J4						
LRP1						
NUDT17						
SSPN						
SLC26A11						
CD300LD						
SLAMF6						
DNAJC9						
KCNC1						
MEX3D						
SNRNP70						
OR13H1						
CFC1						
FAM71B						
USP10						
CLEC4D						
CCL22						
AMH						
MGAT2						
TAS2R1						
ZNF148						
ZSCAN26						
IL26						
ZDHHC13						
OR4C12						
PKHD1L1						
SUPT7L						
GTPBP3						
STK19		ONC				
BAIAP3						
PPIAL4C						
GPR137						
FAM219A						
HMGB3						
CACNG5						
FBXW11						
RPS5						
RPS11						
OR6F1						
MAP4						
MED7						
ALAD						
SNX25						
IDO2						
PIK3R3		TSG				
FSTL5						
PLEKHG4						
PEX1						
GSKIP						
CHODL						
CCDC71L						
WDR87						
ZXDB						
PITPNM3						
DNAH6						
NUMA1	ONC					
OASL						
WFDC8						
ARCN1						
TMED1						
FCGR3A						
OR6C2						
PIP5K1B						
YRDC						
UNC119B						
SLC39A6						
UQCC2						
COPG1						
SLC16A13						
VAPB						
C6orf223						
C5orf22						
ATXN1L						
ATL1						
PRKAG2						
ASIC4						
TAS2R3						
ZNF716						
EDA						
ADNP						
EPHB1		TSG				
DPYS						
CCSER1						
PROS1						
CHCHD2						
ELK4	ONC					
CBX5						TSG
NPR1						
SMC2						
KRTAP8-1						
YDJC						
ZNF135						
WDR76						
PIGZ						
MTHFS						
SPG21						
SEC16A						
YIPF6						
NFU1						
PPBP						
RDH11						
CHD8				TSG		
CTDSP1						
KRTCAP3						
RAB11FIP2						
HHIP						
BAI1						
ZNF580						
NR4A3	ONC	ONC				TSG
SUN3						
GRK3						
SFT2D1						
CT83						
TOM1L2						TSG
BAG1						
PABPN1						
ADCY5						
ORAI3						
ADPRM						
ZC3H3						
CA9						
NEGR1						
PDCD7						
DNTT						
PHF11						
INPP5A						
HBZ						
KCNMB2						
ECM1						
PLCG2		ONC				
PPP5C						
TRAM1L1						
SNRNP48						
TMEM87B						
EIF4H						
KCNN4						
PROK1						
CKS1B					ONC	
CPNE2						
DBP						
MSX1						
TBC1D25						
CRYZL1						
RIC1						
ZNF772						
CFH						
GBA3						
FILIP1						
OR5R1						
FAM134A						
GPR3						
TMEM253						
AKAP7						
EXTL2						TSG
PKD1L3						
C2orf16						
SYCE1						
CHURC1						
LMBR1L						
MIEF1						
WDR38						
SLC39A14						
RNF103						
DNAJB3						
CDH10	TSG					
LILRB3						
GTF2F2						
ALOX12						
SFT2D3						
CCRN4L						
PPWD1						
MOXD1						
CHCHD5						
TMEM260						
PCSK6						
BRD9						
ZSCAN2						
RAI14						
PLXNA3						
TMEM106B						
SPANXN3						
ABCG8						
GATA1	TSG/ONC		TSG		ONC	
KLRC4						
SELENOH						
RAPSN						
PSMC3						
ABHD17C						
CLP1	ONC					
GALNTL6						
BAD						
IL13RA2						
LYPD6B						
TMEM200B						
RPUSD4						
SPRYD7						
SYNDIG1						
WFDC10A						
MTO1						
ST6GALNAC1						
MAS1L						
SPTY2D1						
ARMC2						
PNMT						
TRIP6					ONC	
PPP1R9A						
OR51E1						
CGB2						
GOT1						
TXNDC11						
TMEM59L						
SLC35D3						
WNT2					ONC	
INSYN2						
MMP21						
BAG2						
ZER1						
CTNND2	ONC				ONC	
S100A3						
OR4X1						
NRAP						
ZZZ3						
ATP5MD						
NPS						
KRTDAP						
GATC						
POMGNT2						
SLC38A7						
DNAJC27						
GPI						
RING1					ONC	
CHTF8						
BLM	TSG	TSG				
RASL11B						
COX6A2						
MED30						
RPP30						
PIK3C2G						
PGPEP1L						
ZNF280D						
FAM110D						
BAGE4						
ATAD2						
TEX13B						
SOX7						TSG
CIRH1A						
MRGPRG						
TCEAL6						
UPF3A						
TP53I13						
KAZALD1						
SNIP1						
ADAMTSL2						
ARHGAP15						
TREML1						
BBS4						
DUSP6						TSG
SLC28A1						
UBE2D4						
WASL						
PICK1						
ENOX2						
ZNF655						
TSR2						
TCF7L2	ONC	TSG				TSG
KPNB1						
EMC3						
NFIL3						
HOXB1						
ZNF512						
SCAI						
BBOX1						
FRMPD1						
MC1R						
LYPLAL1						
TRAPPC3						
C2orf69						
FAM209B						
KCNQ4						
GLB1L2						
TP53	TSG/ONC	TSG	TSG	TSG		TSG
SNTA1						
ATF3					ONC	TSG
FAM89A						
CDC42BPG						
CAPNS1						
RAB11FIP4						
TMEM8C						
MYO3B						
FGFR3	ONC	ONC	ONC	ONC	ONC	
KRTAP3-2						
DDX4		ONC				
PRSS42						
MYOG						
XKR8						
ARMCX1						
EMCN						
LAMA2						
TOMM20						
ABHD17B						
TEAD1						
GDF1						
NR5A1						
COA4						
GCHFR						
IGFL1						
ZNF330						
VIM					ONC	TSG
AQP2						
SLC25A40						
ECT2L		TSG				
TMEM9B						
CREBBP	TSG/ONC	TSG	TSG	TSG		TSG
RARB						TSG
UNC13C						
TBCEL						
IP6K1						
PEX16						
MAPK4						
C8orf31						
TBX15						
SORBS1						
PNPO						
CD24					ONC	
DYNC2H1						
BRD4	ONC	ONC			ONC	
CCDC121						
EFCAB9						
WSCD1						
PIGX						
LIN28B					ONC	
FAM179A						
PAK1IP1						
ZBTB44						
SMCHD1						TSG
COX11						
METTL6						
WAPAL						
CCDC28A					ONC	
PPARGC1B						
C12orf77						
NTN1						
KLHDC7B						
MARK3						
C21orf33						
LIX1						
COX7B						
PPIH						
MFN2						
CDC42SE2						
DNM3						
ATP13A5						
CCDC88C						
MYEOV2						
VRK3						
EMX2						
WRN	TSG					
SMAD7						
CDC45						
KLHL25						
CPT1A						
MAP6						
GEM						
PSME1						
DES						
WDR70						
SIGLEC1						
BTF3						
GFPT2						
ACTR3B						
POU1F1						
LDLR						
SYNE3						
ZNF609						
SYTL2						
OSCAR						
BAGE2						
RAP2B						
TMEM110						
SLC35F1						
OR8H1						
ICE2						
CRAT						
PLK4						
UTP14A						
OR6N2						
AIP						TSG
DPY19L2						
MOB4						
OR2A4						
CDKL4						
CYREN						
EDA2R						TSG
FNTA						
C17orf100						
VCP						
POLR3H						
POPDC2						
NUDT13						
POTEM						
ALDH1L1						
DEFB131A						
ZNF454						
IRAK1BP1						
PGAM4						
OR5J2						
LYRM5						
CRYGD						
KDELC1						
EGFL7		ONC				
ITPKC						
TRIOBP						
NPR3						
MT1B						
TNS3						
ACP7						
FBXW8						
GNB3						
KLK2	ONC					
ZBBX						
PARP14						
NHS						
DYDC1						
H2AFY						
IFNB1						
FKBP11						
ABI1	ONC/TSG					
KTI12						
ZNF32						
OAF						
NME2						
CRISP3						
ZNF746						
DRD5						
LRRC69						
MT1A						
MAEL						
GTF3C3						
C17orf62						
CHST11	ONC					
CLTCL1	ONC/TSG					
PFKFB4						
GCC1						
SH3TC2						
CCDC184						
CHKB						
RAB5IF						
OR10V1						
PKD2L1						
ATXN1						
PADI3						
UGT1A9						
PIK3C2B						
CDKN2B		TSG				TSG
OR1D2						
FAM175B						
TP63	TSG/ONC	TSG/ONC			ONC	TSG
IL22						
RQCD1				PSSIBLE_ONCOGENE		
FUBP3						
RNF128						
FAM110C						
RORB						
CCDC42B						
PLEKHA7						
TUSC5						
SMURF1					ONC	
DEFA3						
CFI						
CCIN						
ISCA1P1						
RNF145						
QPCT						
HYAL3						
SQSTM1					ONC	
PKHD1						
PSMC2						
WIPF2						
SNAP47						
LRP4						
U2AF1L4						
PTCHD1						
TARM1						
NUMB						TSG
HKR1						
VN1R4						
MARCH7						
SLC35B4						
HIST2H2AB						
MMRN1						
RPGRIP1						
OCIAD2						
GATS						
PPM1K						
ADRA2A						
PRR23C						
HIST1H2BG						
MYPN						
MRPL34						
PJA2						
BBS7						
FZD9						
ENAH						
LAG3						
VMP1						
STAT3	ONC	ONC			ONC	TSG
ZNF846						
CAMK1G						
UBXN10						
ALKBH3						
THAP1						
HTR2C						
TNP1						
CSKMT						
ADAM15						
CNNM1						
UCK1						
SENP1						
CD4						TSG
DHPS						
C17orf97						
PTCRA						
KIF7						TSG
OR2L8						
RARRES1						
ATP5MC1						
MS4A4A						
YBEY						
SCMH1						
PTHLH						
KIF18A						
KLK14						
SHROOM4						
TCEAL7						TSG
FAM180A						
CLTA						
MAP1LC3B2						
PRSS12						
INHBA		TSG/ONC				
CEP95						
ZNF492						
PPP4R3A						
TRAF3IP2						
MGAM		ONC				
EXOC3L1						
AMY1A						
KCNMB3						
PLEKHA1						
SRP9						
SYT17						
NUP205						
HEY1	ONC					
TFG	ONC				ONC	
ZAR1						
LRRC71						
TMEM67						
FAM205A						
PARD6B						
ADAMTS13						
ADNP2						
CRADD						
TNFRSF13B						
PEBP4						
KRTAP10-8						
ENPP2						
RNF130						
PRDM14					ONC	
CCDC34						
IFT22						
SULF1						
CD80						
SPAG11B						
CNNM2						
CCDC144A						
AQP9						
CORO2B						
COL6A5						
BZW2						
UGT2B15						
HOXD12						
EPHA2				TSG	ONC	TSG
UPK3BL1						
RASA4						
PPIAL4E						
TNNI2						
ZNF286B						
CASP6						
LAMP5						
SYT3						
ACER3						
ADA						
CD200						
TMEM82						
MAP3K13	TSG/ONC	ONC				
TIPARP						
PLAC1						
PROZ						
UBR7						
LPPR4						
TBC1D3C					ONC	
STRN	ONC					
CARD14						
GCAT						
HLX						
CHRD						
TTC12						
ANAPC7						
PSMD10					ONC	
HID1						
HACE1						TSG
PLVAP						
NRBF2						
HHLA2						
KDM3A						TSG
DGKE						
SH2D1A		TSG				
TNXB						
CCDC186						
DDHD2					ONC	
VSIG4						
ADAM12						
AIFM3						
CALML5						
RPS6KA2						TSG
LSM10						
NABP1						
MAP4K5						
BCOR	ONC/TSG	TSG	TSG	TSG		
MAIP1						
NAAA					ONC	
ZNF721						
LPP	ONC					
FAM46C		TSG				
SYCP3						
FZD8						
RGPD1						
WIF1	ONC/TSG	TSG				TSG
CYB5RL						
KIZ						
RGS22						
SLC25A18						
LSS						
SNX1						
CD300A						
STAT1						TSG
RTP3						
PARS2						
ACTR1A						
NUDT16L1						
BTG3						TSG
OARD1						
RNF146						
ZBTB2						
LRRC6						
CD52						
CRIP2						
RPF2						
KRT222				PSSIBLE_TSG		
PLA2G16						TSG
EIF2AK1						
