gene	CGC	OncoKB	2020Rule	CTAT	Oncogene	TSgene
TAC4						
PLEKHH1						
SPATA31A1						
CTSD						
RFWD3	TSG					
SUV420H2						
PAPPA2						
GJB2						TSG
RIT2						
PTP4A2					ONC	
GPR68						
PRAMEF2						
COPB1						
CD163						
GTF2F1						
OR4C3						
MAN1C1						
ZNF699						
NPTX2						
SRSF9						
COL9A3						
CCDC141						
FUT7						
MAGT1						
MATN1						
CACNA1G						
SMO	ONC	ONC	ONC		ONC	
PFN3						
CXorf58						
HERC6						
EDC4						
VCX3A						
AQP12A						
TMEM65						
TTC30B						
CHRNA4						
TRPM4						
KCNN2						
NT5C1A						
ETV3					ONC	
ASB2						
LSM3						
MPP5						
PDHA2						
PAX5	TSG/ONC	TSG	TSG			TSG
SPRR2G						
ZNF839						
ZNF764						
ZNF391						
PDGFB	ONC	ONC			ONC	
C22orf29						
VWA1						
SOCS2						
LARGE2						
KIF23						
CKMT2						
TSNAXIP1						
MYOZ1						
IL12A						
BACE1						
CALHM6						
CRB2						
GLB1						
ZNF689						
CEP89	ONC					
LIPF						
FOXRED1						
CNMD						
CYTL1						
AKAP6						
STAG3L4						
TYW1						
ASPH						
ZBTB10						
NDC80						
FRG2						
MRPS26						
IST1					ONC	
HNRNPUL1						
SLC2A12						
AK1						
IGFALS						TSG
WDR25						
APOOL						
OTOL1						
KIAA1751						
GPR155						
IL21						
STAM						
KCNK4						
WNT8B						
TSPAN12						
BNIP3						
HOXD1						
MIS12						
CPA4						
SYNE4						
SOWAHB						
MLF1	ONC/TSG					
MAPRE1					ONC	
NPB						
ARF5						
OR1C1						
DAGLA						
UFL1						TSG
TNFAIP8L1						
GSTT2						
AMDHD1						
SHOX						
CFHR3						
C3orf17						
ECT2					ONC	
PGRMC2						TSG
HIST1H4J						
PHPT1						
PTGES2						
RAI2						
CKAP4						
FBXW4						
DENND5B						
OR6C76						
SPATA3						
CSF3					ONC	
ICOS						
TNNC2						
TMCO3						
MRPL57						
BANP					ONC	TSG
MRM3						
COL12A1						
ZNF670						
THY1						TSG
NAT16						
PCDHB16						
ZNF185						TSG
NPFF						
ACP1						
CCDC97						
OR8B3						
GNA12		ONC			ONC	
SPDYC						
PSMD9						
METAP1						
CNST						
CCDC88A						
FMOD						
REST		TSG				
HBS1L						
SLC18B1						
NSMAF						
PRKACG						
AP5S1						
LTC4S						
RGL1						
ZP4						
SLC17A5						
GTPBP10						
PAK4						
OSBPL9						
OR10G7						
DENND4A						
COPS9						
C9orf57						
NKD1						
EFCAB1						
TIFAB						
MRPS9						
LCTL						
CELA2A						
KMT2D	TSG/ONC	TSG		TSG		
CELA3B						
ZFYVE9						
UCP3						
SAMD9						
PRM3						
ALS2						
SLCO1C1						
GAL3ST1						
CST2						
GNRH1						
SELENBP1						TSG
BCKDHA						
ECI1						
TLE2						
PPP1R8						
PPP2R5E						
HIST1H3C						
DBR1						
ATP12A						
ADGRF2						
ANKRD32						
CCNE1	ONC	ONC			ONC	
GLA						
MICALL2						
PLEKHN1						
HNRNPL						
PCGF2						TSG
B4GALT7						
SNX29	ONC					
OR4K13						
EHD4						
ABHD14A						
GABRA1						
RDH8						
LHX3						
DGCR2						
MUC16	ONC					
SPSB1						
MUT						
XKR9						
PLPPR1						
ESX1						
CXADR						
USH1G						
VLDLR						
LRRC61						
GUCY1A2						
RBM5						TSG
TERB2						
KCNH4						
KRTAP4-3						
KBTBD6						
FRYL						
ARL14EP						
TMPRSS5						
ARPP19						
UBE4B						TSG
SSX3						
CFAP57						
H6PD						
KRT8						
C16orf93						
RNF152						
NR1I3						
ZNF468						
RPS6KA4		ONC				
ZNF814						
NSD3	ONC					
MMP14						
SNRK						
GMNN					ONC	
ASXL1	TSG	TSG	TSG	PSSIBLE_TSG		TSG
CAPZB						
UBE2B						
TRIM51						
ZNF461						
PCDH9						TSG
TGFB2						
HNRNPF						
CXXC1						
MPP7						
GPR65						
HOXA1					ONC	
FAM86C1						
IQGAP2						TSG
ADGRF1					ONC	
LRFN4						
GABRQ						
ROPN1L						
PMP2						
CCL4						
IQGAP3						
GTPBP4						TSG
B3GALT4						
C1RL						
DCAF16						
IGFL2						
HMGN1						
ADAD1						
T						
RASEF						
GTF3C5						
ALG2						
DAW1						
SLC25A6						
BRD1						
NOD1						
INSIG2						
SLC18A2						
FRZB						
SIGLEC9						
RRAGA						
TTC23L						
METTL10						
WIPF1						
KLHL6						
CCDC144NL						
SLC25A25						
OAZ1						
HECTD1						
U2AF1	ONC	ONC	ONC	ONC		
CRH						
TTC27						
ATHL1						
SCD						
SPRR3						
DALRD3						
SEL1L2						
PPIAL4G						
OR4M1						
FUT9						
SLC25A1						
LPCAT1						
DHX8						
CATSPERB						
GLRX						
CALB2						
CXorf40B						
C9orf172						
SHROOM3						
SLC5A12						
RRP9						
TSPAN10						
NBEAL1						
PPIL3						
FAM115A						
CD7						
IL10RB						
THAP10						
ZNF414						
NEUROG2						
ERBB2IP						
LY6H						
GRXCR1						
CT47A3						
MARVELD3						
ANKFN1						
KCNK15						
PPP2R3B						
UROS						
TECR						
HOXC12						
TXNRD2						
PAGE2						
SDCCAG8						
UBE2E3						
FAM153A						
SORD						
C15orf41						
FCGBP						
HORMAD2						
KCNJ1						
MBD3L4						
FAM19A5						
HRC						
NFX1						
FOXN4						
CCDC25						
CCNYL1						
RASIP1						
SYNPO						
FOXD3						TSG
DOLK						
ZBTB8A						
LY6D						
LEFTY2						TSG
APOA4						
C11orf87						
NMS						
GAPT						
MFSD5						
TCEA2						
SLC2A7						
GNPNAT1						
CREB3L2	ONC					
PAK2						
ADAMTS6						
PPAT						
CPT1C						
SSRP1						
C11orf65						
MAPT						
MAPK13						
ERO1L						
C19orf35						
MAP3K19						
EPHA1						TSG
NASP						
KLHL12						
NCOR1	TSG	TSG	TSG	TSG		
NNMT						
OR5AK2						
OR8G5						
SLC40A1						
GDI2						
PDE8B						
ASB18						
RGMB						
PHGR1						
LHFPL4						
NXF2B						
FAM86B2						
SPATA18						
SCFD1						
MPV17L						
HAS2						
LRRC10						
NOL9						
RMI2	ONC/TSG					
TRIM10						
ZHX2						TSG
TMEM120B						
TXNRD1						
ELOA3B						
ZXDA						
LRIG1						TSG
NRARP						
ATXN2L						
RBBP4						
ASH1L						
LYZL6						
CNN3						
GPR162						
ARHGAP28						
TMEM30B						
CPED1						
PTPRA						
TSPEAR						
NOB1						
SMAP1						
TCEA3						
MSI1		ONC			ONC	
LCE6A						
KLK12						
KRT73						
ATG4C						
CCDC125						
PON1						
GAP43						
CAD						
RHBDD2						
TARSL2						
PELO						
FAM92A						
LMAN1L						
MICA						
FAM213A						
TAF9						
PCDHGC4						
ZMYND19						
HEMGN						
AR	ONC	ONC	ONC		ONC	
SMIM20						
FCHSD1						
ATP2C2						
ETFRF1						
FUBP1	ONC	TSG	TSG	TSG	ONC	
TM7SF2						
APOBEC3D						
CPNE5						
MEX3A						
TRPC4						
LUM						
ZNF444						
TTC38						
H1FNT						
SP7						
TMEM126A						
HIST1H3D						
PAM						
IRF5						TSG
TMEM258						
ANKRD13B						
B2M	TSG	TSG	TSG	PSSIBLE_TSG		
GRAPL						
GLB1L						
PAK5		ONC				
RNF212						
C12orf61						
GALNT17						
SWSAP1						
CLIC6						
KCTD7						
EDNRB						TSG
LIMK2						
SH3GL1	ONC					
UBQLN2						
ABCA8						
SLAMF9						
C5orf63						
MAP4K2						
TCP1					ONC	
ASMTL						
FJX1						
ENTPD6						
PPP1R27						
ESCO1						
YARS2						
SPATA45						
METTL17						
NTNG2						
KRTAP5-8						
MYH1						
C12orf65						
SPON1						
BSN						
KRTAP12-4						
EFHB						
DRAM2						
CPXM1						
PPP1R11						
CALML4						
LRRC56						
KMT2C	TSG	TSG		TSG		TSG
DYX1C1						
ZFP64						
AMPD2						
THNSL1						
ZNF222						
MGAT3						
TRABD2A						
DAP						
WIPF3						
ACSF2						
UTP23						
SLC17A3						
SEMA6D						
NT5M						
RPL37A						
POLN						
CCDC153						
ANAPC15						
C6orf132						
NAGLU						
MAD2L1BP						
MRGPRX4						
ORMDL2						
SOAT1						
NEDD4L						TSG
IFT57						
ZFAND4					ONC	
ZNF623						
GAGE12B						
C22orf31						
FAM156B						
TXLNG						
TNFSF8						
RBMXL3						
