PROTEIN_ID	GENE_NAME	PUBMED_ID	dbSNP_ref
Q9H7E9;A6NGC0;Q96BT8	C8orf33		
Q49A92;A0A0C4DFS7;A8K5X1;G3XAM6;Q8N1X0;Q8N9M7;Q8ND19;Q96Q28	C8orf34		
P10809;B2R5M6;B7Z712;Q38L19;Q9UCR6	HSPD1		
Q9BUX1;Q0VIA0	CHAC1		
Q8WUX2;Q8WVI8	CHAC2		
Q5VXU3;A0PJZ2;B0QZ87;B9EGS5;Q5CZ84	CHIC1		
Q9Y2V2;B2R4C3;D3DUF5;Q2YDX5;Q9BQ53	CARHSP1		
Q86X52;Q6UX38;Q7LFU5;Q9Y2J5	CHSY1		
Q8IZ52;B4DXU0;Q6UXD6;Q7L4G1;Q9H0F8;Q9H618	CHPF		
Q70JA7;B2RP97;Q76L22;Q86Y52	CHSY3		
O43916;D3DQP2	CHST1		
O76071;A0MNN9;Q53FM5	CIAO1		
O43734;B2RAY9;E1P555;Q5R3A3;Q7Z6Q1;Q7Z6Q2;Q7Z6Q3;Q9H5W2;Q9H6Y3;Q9NS14;Q9UG72	TRAF3IP2		
Q9NZ45;Q1X902	CISD1		
Q8N4M7;Q5T2Z8	C10orf126		
B7Z368	LINC02881		
A0A1B0GUT2	C10orf143		
Q9H5F2;Q6I9X7;Q9NQC6	C11orf1		
Q96DZ9;E9PH91;Q5PY48	CMTM5		
Q9NX76;Q6IAC4	CMTM6		
Q96FZ5;Q5VLK1	CMTM7		
Q8IZV2;A5D6I7;Q8IW01	CMTM8		
Q9UBR5;C9JE38;Q9UHM7;Q9UHN8;Q9UI41	CKLF		
Q9Y240;B2RAD4	CLEC11A		
Q86T13;Q695G9;Q6PWT6;Q8N5V5	CLEC14A		
Q8NC01;Q8IUW7;Q9NZH3	CLEC1A		
Q9P126;Q6UWX7;Q8NHR6	CLEC1B		
Q6UVW9;A5Y4G5;A9QKS2;A9QKS3	CLEC2A		
Q92478;B2R9U1;Q8IZE9;Q9BS74;Q9UQB4	CLEC2B		
Q9UHP7;D6CI39;D6CI40;D6CI41;Q6YID5;Q8WUP7;Q9HD37;Q9HD38	CLEC2D		
Q9UBD9;B4DNT4;Q6NZA4	CLCF1		
P51800;B4DPD3;E7EPH6;Q5T5P8;Q5T5Q4;Q7Z6D1;Q86VT1	CLCNKA		
O14967;B3KS90;B4DXV8;D3DNY8	CLGN		
Q00610;D3DU00;Q6N0A0;Q86TF2	CLTC		
P53675;B7Z7U5;Q14017;Q15808;Q15809	CLTCL1		
Q92989;B2R7J6;B4DTI8	CLP1		
P58418;D3DNJ3;E1ACU9;Q8N6A9	CLRN1		
P23946;B5BUM8;Q16018;Q3SY36;Q3SY37;Q9UDH5	CMA1		
Q86VU5;Q8TE79	COMTD1		
Q8N1G2;A8K949;Q14670;Q96FJ9	CMTR1		
Q8NE01;B3KX67;Q8TBV4;Q96IW4;Q9NRK4;Q9NXW6	CNNM3		
Q6P4Q7;B7Z1U0;C7SQM3;C7SQM4;C7SQM5;Q53RE5;Q9H9G3;Q9HCI0;Q9NRN1	CNNM4		
Q9H9A5;B7Z7L1;F8WAF2;Q9BU30;Q9H5J7;Q9H8X1;Q9H9W0;Q9HAH3;Q9UFJ2	CNOT10		
P02452;O76045;P78441;Q13896;Q13902;Q13903;Q14037;Q14992;Q15176;Q15201;Q16050;Q59F64;Q7KZ30;Q7KZ34;Q8IVI5;Q8N473;Q9UML6;Q9UMM7	COL1A1		
Q5SY13	COL5A1-AS1		
Q13057;B2RA78;B4DLU0;Q6GS23;Q8NBM7;Q8NEW1;Q8WXD4;Q9NRM3	COASY		
Q9UH73;Q8IW11	EBF1		
Q9BWP8;A1IGE4;A1IGE5;A1IGE6;A7VJJ2;A7VJJ3;A7VJJ4;A7VJJ5;B2R9M5;B4E1G0;J3KQY9;Q5CZ85;Q7Z6N1	COLEC11		
Q5KU26;Q6P9F2;Q8TCR2;Q8WZA4;Q9BY85;Q9BYH7	COLEC12		
Q86X83;Q561V4;Q9H3L5;Q9Y5V1	COMMD2		
Q9UBI1;D3DRU7;Q5T8Y9	COMMD3		
Q9H0A8;B2RBN4;H3BUL2;Q7L637;Q9NX43	COMMD4		
Q9GZQ3;D3DWN7;Q9NVN6;Q9UHX5	COMMD5		
Q5HYK3;B2RDU9;B3GK62;B4DEJ4;Q32Q28;Q53HH0;Q96LV1;Q9BSP8	COQ5		
Q9ULV4;A7MAP0;A7MAP1;B3KU12;Q9NSK5	CORO1C		
Q92828;Q5TBR5;Q92829;Q9BWS5	CORO2A		
Q9UQ03;A8K0W3;O94767;Q8TAN1	CORO2B		
