KEGG Gene ID	KEGG Pathway ID
10250	hsa03013|hsa03015
10253	hsa05206
10254	hsa04144|hsa04630
10257	hsa01523|hsa02010|hsa04024|hsa04976
1026	hsa01522|hsa01524|hsa04012|hsa04066|hsa04068|hsa04110|hsa04115|hsa04151|hsa04218|hsa04630|hsa04921|hsa04928|hsa04934|hsa05160|hsa05161|hsa05163|hsa05165|hsa05166|hsa05167|hsa05169|hsa05200|hsa05202|hsa05203|hsa05205|hsa05206|hsa05210|hsa05211|hsa05212|hsa05213|hsa05214|hsa05215|hsa05216|hsa05217|hsa05218|hsa05219|hsa05220|hsa05222|hsa05223|hsa05224|hsa05225|hsa05226
10262	hsa03040
10266	hsa04270
10267	hsa04270
10268	hsa04270
10269	hsa00900
1027	hsa01522|hsa04012|hsa04066|hsa04068|hsa04110|hsa04151|hsa04933|hsa04934|hsa05162|hsa05165|hsa05169|hsa05200|hsa05202|hsa05203|hsa05206|hsa05215|hsa05220|hsa05222|hsa05226
102723407	hsa04020|hsa04064|hsa04072|hsa04145|hsa04151|hsa04613|hsa04640|hsa04650|hsa04662|hsa04664|hsa04666|hsa04672|hsa05130|hsa05135|hsa05140|hsa05143|hsa05146|hsa05150|hsa05152|hsa05169|hsa05171|hsa05202|hsa05310|hsa05320|hsa05322|hsa05323|hsa05330|hsa05340|hsa05414|hsa05416
102723475	hsa04261
102723532	hsa04740
102723555	hsa04114|hsa04914
102723796	hsa04310|hsa04330
102723849	hsa04114|hsa04914
102723996	hsa04514|hsa04672
102724334	hsa04613|hsa05034|hsa05203|hsa05322
102724428	hsa04922
102724560	hsa00260|hsa00270|hsa01100|hsa01230
102724594	hsa03040|hsa05131
102724652	hsa04141
102725035	hsa04380|hsa04662
10273	hsa04120|hsa04141
10274	hsa04110
10277	hsa04120|hsa04141
1028	hsa04110
10280	hsa05014|hsa05022
102800317	hsa04068|hsa04310|hsa04340|hsa04390|hsa04392|hsa04710|hsa05010|hsa05022
10282	hsa04130
10284	hsa03013|hsa03015
10285	hsa03040
10286	hsa03040
10288	hsa04380|hsa04662
1029	hsa01522|hsa01524|hsa04110|hsa04115|hsa04218|hsa04934|hsa05163|hsa05166|hsa05200|hsa05203|hsa05206|hsa05212|hsa05214|hsa05218|hsa05219|hsa05220|hsa05223|hsa05225
10291	hsa03040
10294	hsa04141
10297	hsa04310|hsa04390|hsa04550|hsa04810|hsa04934|hsa05010|hsa05022|hsa05165|hsa05200|hsa05206|hsa05210|hsa05213|hsa05217|hsa05224|hsa05225|hsa05226
10298	hsa04012|hsa04014|hsa04360|hsa04510|hsa04660|hsa04810|hsa05170|hsa05206|hsa05211
10299	hsa04141
103	hsa04623|hsa05162|hsa05164|hsa05171
1030	hsa04068|hsa04110|hsa04218|hsa04350|hsa04934|hsa05166|hsa05200|hsa05203|hsa05222|hsa05226
10308	hsa05168
1031	hsa01522|hsa04110|hsa04934|hsa05166|hsa05202
10312	hsa00190|hsa01100|hsa04142|hsa04145|hsa04721|hsa04966|hsa05110|hsa05120|hsa05152|hsa05165|hsa05323
10313	hsa05010
10314	hsa00480|hsa01100
10316	hsa04080
10317	hsa00601|hsa00603|hsa01100
10318	hsa05131
10319	hsa04151|hsa04510|hsa04512|hsa05145|hsa05146|hsa05165|hsa05200|hsa05222
1032	hsa04068|hsa04110
10325	hsa04140|hsa04150|hsa05131
10326	hsa04380
10327	hsa00010|hsa00040|hsa00053|hsa00561|hsa00620|hsa01100|hsa01240|hsa05208
10329	hsa00515|hsa01100
10331	hsa00512|hsa00601|hsa01100
10332	hsa04145|hsa04625|hsa05152|hsa05162
10333	hsa04145|hsa04620|hsa05132|hsa05142|hsa05152|hsa05417
10335	hsa04022|hsa04270
10336	hsa04550
10342	hsa05200|hsa05216
10344	hsa04060|hsa04061|hsa04062
10345	hsa04020|hsa04260
10347	hsa02010
10349	hsa02010
10350	hsa02010
10351	hsa02010
10352	hsa00970
1036	hsa00270|hsa00430|hsa01100
10365	hsa04068|hsa04371|hsa05418
10368	hsa04010|hsa04260|hsa04261|hsa04921|hsa05410|hsa05412|hsa05414
